LULU,pullback,long,310.71,2025-05-23,297.98,315.0
EVEX,pullback,long,4.35,2025-05-21,3.77,4.49
CYH,pullback,long,4.02,2025-05-21,3.58,3.77
CMPO,pullback,long,12.27,2025-05-20,11.53,13.66
GCT,pullback,long,17.6,2025-05-21,15.37,18.47
PCT,pullback,long,8.54,2025-05-21,7.60,9.6
CSX,pullback,long,30.62,2025-05-21,29.75,30.85
BYON,pullback,long,5.73,2025-05-23,4.62,5.82
GYRE,pullback,long,10.52,2025-05-21,9.47,9.47
DK,pullback,long,17.4,2025-05-22,15.82,19.36
PAYS,pullback,long,3.27,2025-05-19,2.76,3.5
AVY,pullback,long,179.95,2025-05-19,176.28,176.28
ED,mean_reversion,long,102.82,2025-05-22,86.01,103.42
FI,mean_reversion,long,161.60,2025-05-22,116.89,161.3
ANIP,mean_reversion,long,58.38,2025-05-22,46.10,58.55